"LANGUAGE","English","French","Italian","Spanish","German","Czech"
"STR_SENT_CMD_GETIN_CARGO_1","%1.1, BOARD IN %2","%1.1, MONTEZ DANS %2","%1.1, SALIRE A BORDO DI %2","%1.1, EMBARQUEN EN %2","%1.1, IN %2 EINSTEIGEN","%1.1, NASTOUPIT -  %2"
"STR_SENT_CMD_GETOUT_1","%1.1, DISEMBARK","%1.1, DESCENDEZ","%1.1, SCENDERE","%1.1, DESEMBARQUEN","%1.1, VON BORD","%1.1, VYSTUPOVAT"
"STR_SENT_CMD_STOP_1","%1.1, HALT","%1.1, HALTE","%1.1, FERMARSI","%1.1, °ALTO!","%1.1, HALT","%1.1, ST¡T"
"STR_SENT_CMD_EXPECT_1","%1.1, WAIT FOR ME","%1.1, ATTENDEZ-MOI","%1.1, ASPETTATEMI","%1.1, ESP…REME","%1.1, WARTET AUF MICH","%1.1, »EKAT"
"STR_SENT_CMD_HIDE_1","%1.1, TAKE COVER","%1.1, A COUVERT","%1.1, METTERSI AL RIPARO","%1.1, °A CUBIERTO!","%1.1, DECKUNG!","%1.1, DO ⁄KRYTU"
"STR_SENT_NOTIFY_ATTACK_1","ENGAGING","ATTAQUE EN COURS","STO ATTACCANDO","ATACANDO","IM ANGRIFF","⁄TO»ÕM"
"STR_SENT_NOTIFY_SUPPORT_1","SUPPORTING","ASSISTANCE EN COURS","STO SUPPORTANDO","AYUDANDO","UNTERST‹TZT","PODPORUJU"
"STR_SENT_CONFIRM_PRIVATE_1","ROGER","RE«U","RICEVUTO","ENTENDIDO","IN ORDNUNG","ROZUMÕM"
"STR_SENT_CONFIRM_MOVE_1","ROGER","RE«U","RICEVUTO","ENTENDIDO","IN ORDNUNG","PROVEDU"
"STR_SENT_CONFIRM_MOVE_2","MOVING ON","EN MARCHE","MI STO MUOVENDO","TRASLAD¡NDOSE","WEITER","PÿESOUV¡M SE"
"STR_SENT_CONFIRM_MOVE_3","ON THE WAY","ON ARRIVE","SONO IN MOVIMENTO","EN CAMINO","UNTERWEGS","JSEM NA CESTÃ"
"STR_SENT_CONFIRM_ATTACK_1","I'M ON HIM","JE SUIS DESSUS","GLI SONO ALLE CALCAGNA","LO TENGO","BIN IHM AUF DER SPUR","JDU PO NÃM"
"STR_SENT_CONFIRM_ATTACK_2","ROGER","RE«U","RICEVUTO","ENTENDIDO","IN ORDNUNG","PROVEDU"
"STR_SENT_CONFIRM_ATTACK_3","ON THE WAY","ON ARRIVE","ARRIVO","EN CAMINO","UNTERWEGS","DLE ROZKAZU"
"STR_SENT_CONFIRM_OTHER_1","ROGER","RE«U","RICEVUTO","ENTENDIDO","IN ORDNUNG","PROVEDU"
"STR_SENT_VEHICLE_MOVE_1","MOVE TO %1 %2","DIRECTION %1 %2","SPOSTARSI A %1 %2","TRASL¡DESE A %1 %2","NACH %1 %2 BEWEGEN","PÿESUN - %1 %2"
"STR_SENT_VEHICLE_MOVE_2","GO TO %1 %2","ALLEZ A %1 %2","ANDARE A %1 %2","V¡YASE A %1 %2","NACH %1 %2 GEHEN","POHYB - %1 %2"
"STR_SENT_VEHICLE_JOIN_1","KEEP FORMATION","RESTEZ EN FORMATION","MANTENERSI IN FORMAZIONE","MANTENGA LA FORMACI”N","FORMATION BEIBEHALTEN","DODRéUJTE FORMACI"
"STR_SENT_VEHICLE_FIRE_1","FIRE AT %1","TIREZ SUR %1","FARE FUOCO CONTRO %1","DISPARE A %1","AUF %1 FEUERN","ZA⁄TO»IT - %1"
"STR_SENT_VEHICLE_TARGET_1","TARGET %1, %2","CIBLE %1, %2","BERSAGLIO %1, %2","OBJETIVO %1, %2","ZIEL %1, %2","ZAMÕÿIT - %1"
"STR_SENT_VEHICLE_NO_TARGET_1","NO TARGET","PAS DE CIBLE","NESSUN BERSAGLIO","NO HAY OBJETIVO","KEIN ZIEL","ZRUäIT MÕÿENÕ"
"STR_SENT_VEHICLE_CEASE_FIRE_1","CEASE FIRE","CESSEZ LE FEU","CESSARE IL FUOCO","ALTO EL FUEGO","FEUER EINSTELLEN","NESTÿÕLET"
"STR_SENT_VEHICLE_FORWARD_1","FORWARD","EN AVANT","AVANTI","ADELANTE","VORWƒRTS","KUPÿEDU"
"STR_SENT_VEHICLE_STOP_1","HALT","HALTE","STOP","°ALTO!","HALT","ZASTAVIT"
"STR_SENT_VEHICLE_BACKWARD_1","REVERSE","EN ARRIERE","INDIETRO","ATR¡S","R‹CKWƒRTS","ZP¡TKY"
"STR_SENT_VEHICLE_FASTER_1","FAST","VITE","VELOCE","R¡PIDO","SCHNELL","RYCHLE"
"STR_SENT_VEHICLE_SLOWER_1","SLOW","LENTEMENT","LENTO","DESPACIO","LANGSAM","POMALU"
"STR_SENT_VEHICLE_LEFT_1","LEFT","GAUCHE","SINISTRA","IZQUIERDA","LINKS","DOLEVA"
"STR_SENT_VEHICLE_RIGHT_1","RIGHT","DROITE","DESTRA","DERECHA","RECHTS","DOPRAVA"
"STR_SENT_VEHICLE_DIRECT_FIRE_1","FIRE","FEU","FUOCO","FUEGO","FEUER","PAL"
"STR_SENT_VEHICLE_LOAD_1","%1","%1","%1","%1","%1","%1"
"STR_SENT_VEHICLE_AZIMUT_1","%1","%1","%1","%1","%1","%1"
"STR_SENT_VEHICLE_FIRE_FAILED_1","NEGATIVE","NEGATIF","NEGATIVO","NEGATIVO","NEGATIV","NEMŸéU"
"STR_SENT_VEHICLE_FIRE_FAILED_2","CANNOT FIRE","IMPOSSIBLE DE TIRER","IMPOSSIBILE FARE FUOCO","NO PUEDO DISPARAR","KANN NICHT FEUERN","NEMŸéU STÿÕLET"
,,,,,,
"COMMENT","Config","Config","Config","Config","Konfig.","Config"
"STR_CFG_GLASSES_NONE","None","NÈant","Nessuno","Ninguno","Keine","é·dnÈ"
"STR_CFG_GLASSES_SPECTACLES","Spectacles","Lunettes","Occhiali","Gafas","Brille","DioptrickÈ"
"STR_CFG_GLASSES_SUNGLASSES","Sunglasses","Lunettes de soleil","Occhiali da sole","Gafas de sol","Sonnenbrille","SluneËnÌ"
"STR_CFG_FACES_DEFAULT","Default face","Visage par dÈfaut","Faccia predefinita","Rostro predeterminado","Standardgesicht","P˘vodnÌ obliËej"
"STR_CFG_FACES_CUSTOM","Custom face","Visage personnalisÈ","Faccia personalizzata","Rostro personalizado","Benutzerdefiniertes Gesicht","Voliteln˝ obliËej"
"STR_CFG_HQ_BASE","Base","Base","Base","Base","St¸tzpunkt","Z·kladna"
"STR_CFG_HQ_HQ","HQ","QG","Quartier generale","Cuartel general","Hauptquartier","VelitelstvÌ"
"STR_CFG_PAPABEAR","PAPA_BEAR","PAPA_OURS","PAP¿_BEAR","PAP¡ OSO","PAPA_BƒR","T¡TA MEDVÃD"
"STR_CFG_FIREFLYBASE","BASE FIREFLY","BOURDON","BASE_FIREFLY","FIREFLY_BASE","ST‹TZPUNKT_GL‹HWURM","BLUœI»KA"
,,,,,,
,,,,,,
"STR_CFG_SFX_CA_AK","Ambient - AK74","Ambiance - AK74","Ambiente - AK74","Ambiente: AK74","Umgebung - AK74","OkolÌ - AK74"
"STR_CFG_SFX_CA_M16","Ambient - M16","Ambiance - M16","Ambiente - M16","Ambiente: M16","Umgebung - M16","OkolÌ - M16"
"STR_CFG_SFX_CA_EXPL1","Ambient - Explosion 1","Ambiance - Explosion 1","Ambiente - Esplosione 1","Ambiente: explosiÛn 1","Umgebung - Explosion 1","OkolÌ - Exploze 1"
"STR_CFG_SFX_HEDGESPARROW","HedgeSparrow","Mouchet","Passero","GorriÛn","Sperling","PÏnice"
"STR_CFG_SFX_SKYLARK","Skylark","Alouettedeschamps","Allodolain cielo","Alondra","Feldlerche","Sk¯ivan polnÌ"
"STR_CFG_SFX_FORESTLARK","ForestLark","Alouette","Allodola nel bosco","Cogujada","Waldlerche","Sk¯ivan lesnÌ"
"STR_CFG_SFX_NIGHTINGALE","Nightingale","Rossignol","Usignolo","RuiseÒor","Nachtigall","SlavÌk"
"STR_CFG_SFX_JAY","Jay","Geai","Ghiandaia","Arrendajo","Eichelh‰her","Sojka"
"STR_CFG_SFX_OWL","Owl2","Hibou2","Gufo2","B˙ho2","Eule†2","Sova"
"STR_CFG_SFX_CROW2","Crow2","Corbeau2","Corvo2","Cuervo2","Kr‰he†2","Vr·na"
"STR_CFG_SFX_FROG2","Frog2","Grenouille2","Rana2","Rana2","Frosch†2","é·ba"
"STR_CFG_SFX_SEAGULL","Seagull","GoÈland","Gabbiano","Gaviota","Mˆwe","Racek"
"STR_CFG_ENVSOUNDS_DEFAULT","Default","Par dÈfaut","Predefinito","Predeterminado","Voreinstellung","StandardnÌ"
"STR_CFG_ENVSOUNDS_COMBAT","Combat ambience 1","Ambiance de combat 1","Rumore di combattimento 1","Fragor de combate 1","Kampfumgebung†1","Zvuk bitvy"
"STR_CFG_MUSIC_7TH_DECIDE","7th - Decide","7th - Decide","7th - Decide","7th - Decide","7th - Decide","7th - Decide"
"STR_CFG_MUSIC_7TH_IAMGONAFLY","7th - I am Gonna Fly","7th - I am Gonna Fly","7th - I am Gonna Fly","7th - I am Gonna Fly","7th - I am Gonna Fly","7th - I am Gonna Fly"
"STR_CFG_MUSIC_7TH_LIFELESS","7th - Lifeless","7th - Lifeless","7th - Lifeless","7th - Lifeless","7th - Lifeless","7th - Lifeless"
"STR_CFG_MUSIC_7TH_OVERDOSE","7th - Overdose","7th - Overdose","7th - Overdose","7th - Overdose","7th - Overdose","7th - Overdose"
"STR_CFG_MUSIC_TRACK1","Track 1 - Main Theme","Track 1 - Main Theme","Track 1 - Main Theme","Track 1 - Main Theme","Track 1 - Main Theme","Stopa 1 - Main Theme"
"STR_CFG_MUSIC_TRACK2","Track 2 - Walk","Track 2 - Walk","Track 2 - Walk","Track 2 - Walk","Track 2 - Walk","Stopa 2 - Walk"
"STR_CFG_MUSIC_TRACK3","Track 3 - Slow Blades","Track 3 - Slow Blades","Track 3 - Slow Blades","Track 3 - Slow Blades","Track 3 - Slow Blades","Stopa 3 - Slow Blades"
"STR_CFG_MUSIC_TRACK4","Track 4 - The Fallen","Track 4 - The Fallen","Track 4 - The Fallen","Track 4 - The Fallen","Track 4 - The Fallen","Stopa 3 - Slow Blades"
"STR_CFG_MUSIC_TRACK5","Track 5 - Secret","Track 5 - Secret","Track 5 - Secret","Track 5 - Secret","Track 5 - Secret","Stopa 5 - Secret"
"STR_CFG_MUSIC_TRACK6","Track 6 - Dark Side","Track 6 - Dark Side","Track 6 - Dark Side","Track 6 - Dark Side","Track 6 - Dark Side","Stopa 6 - Dark Side"
"STR_CFG_MUSIC_TRACK7","Track 7 - Heroes","Track 7 - Heroes","Track 7 - Heroes","Track 7 - Heroes","Track 7 - Heroes","Stopa 7 - Heroes"
"STR_CFG_MUSIC_TRACK8","Track 8 - Ocean","Track 8 - Ocean","Track 8 - Ocean","Track 8 - Ocean","Track 8 - Ocean","Stopa 8 - Ocean"
"STR_CFG_MUSIC_TRACK9","Track 9 - Decisions","Track 9 - Decisions","Track 9 - Decisions","Track 9 - Decisions","Track 9 - Decisions","Stopa 9 - Decisions"
"STR_CFG_MUSIC_TRACK10","Track 10 - March Hell","Track 10 - March Hell","Track 10 - March Hell","Track 10 - March Hell","Track 10 - March Hell","Stopa 10 - March Hell"
"STR_CFG_MUSIC_TRACK11","Track 11 - Hunt","Track 11 - Hunt","Track 11 - Hunt","Track 11 - Hunt","Track 11 - Hunt","Stopa 11 - Hunt"
"STR_CFG_MUSIC_TRACK12","Track 12 - Casualties Of War","Track 12 - Casaulties Of War","Track 12 - Casaulties Of War","Track 12 - Casaulties Of War","Track 12 - Casaulties Of War","Stopa 12 - Casaulties Of War"
"STR_CFG_MUSIC_TRACK13","Track 13 - Suppression","Track 13 - Suppression","Track 13 - Suppression","Track 13 - Suppression","Track 13 - Suppression","Stopa 13 - Suppression"
"STR_CFG_MUSIC_TRACK14","Track 14 - Soviet Theme","Track 14 - Soviet Theme","Track 14 - Soviet Theme","Track 14 - Soviet Theme","Track 14 - Soviet Theme","Stopa 14 - Soviet Theme"
"STR_CFG_MUSIC_TRACK15","Track 15 - Armor","Track 15 - Armor","Track 15 - Armor","Track 15 - Armor","Track 15 - Armor","Stopa 15 - Armor"
"STR_CFG_MUSIC_TRACK16","Track 16 - Amen","Track 16 - Amen","Track 16 - Amen","Track 16 - Amen","Track 16 - Amen","Stopa 16 - Amen"
"STR_CFG_MUSIC_FROST","Organ Works","Organ Works","Organo","Organ Works","Organ Works","Organ Works"
"STR_CFG_SOUNDS_RUS1","Russian - American evils","Russe - Le mal amÈricain","Russo - Malvagi americani","Ruso: Diablos americanos","Russisch - Amerikanische Laster","Rusky - AmeriËtÌ Ô·blovÈ"
"STR_CFG_SOUNDS_RUS2","Russian - Run away, all, run away","Russe - Fuyez tous, fuyez","Russo - Via, tutti via","Ruso: Huyan todos, huyan","Russisch - Alle wegrennen","Rusky - PryË, vöichni pryË"
"STR_CFG_SOUNDS_RUS3","Russian - Devil's dogs","Russe - Chiens du Diable","Russo - Cani del demonio","Ruso: Perros del diablo","Russisch - Teufelshunde","Rusky - œ·belötÌ psi"
"STR_CFG_SOUNDS_RUS4","Russian - Damn","Russe - Bon sang","Russo - Dannazione","Ruso: °Maldita sea!","Russisch - Verdammt","Rusky - Do prdele"
"STR_CFG_SOUNDS_RUS5","Russian - Damn","Russe - Bon sang","Russo - Dannazione","Ruso: °Maldita sea!","Russisch - Verdammt","Rusky - Do prdele"
"STR_CFG_SOUNDS_RUS6","Russian - Hey you. What are you doing there?","Russe - HÈ, vous. Qu'est-ce que vous faites ici†?","Russo - Hey, tu. Cosa stai facendo lÏ?","Ruso: Eh, t˙.. øQuÈ haces aquÌ?","Russisch - He, du! Wo willst du hin?","Rusky - Hej ty, co tam dÏl·ö?"
"STR_CFG_SOUNDS_RUS7","Russian - I surrender","Russe - Je me rends","Russo - Mi arrendo","Ruso: Me rindo","Russisch - Ich ergebe mich","Rusky - Vzd·v·m se"
"STR_CFG_SOUNDS_RUS8","Russian - Mama...","Russe - Maman...","Russo - Mamma...","Ruso: Mam·...","Russisch - Mutti...","Rusky - Mami..."
"STR_CFG_SOUNDS_RUS9","Russian - Don't shoot. We're unarmed.","Russe - Ne tirez pas. Nous ne sommes pas armÈs.","Russo - Non sparate. Siamo disarmati.","Ruso: No disparen. Estamos desarmados.","Russisch - Nicht schieﬂen. Wir sind unbewaffnet.","Rusky - Nest¯Ìlejte, nem·me zbranÏ"
"STR_CFG_SOUNDS_RUS10","Russian - Fire","Russe - Feu","Russo - Fuoco","Ruso: Fuego","Russisch - Feuer","Rusky - Pal!"
"STR_CFG_SOUNDS_RUS11","Russian - Cease fire","Russe - Cessez le feu","Russo - Cessare il fuoco","Ruso: Alto el fuego","Russisch - Feuer einstellen","Rusky - Nest¯Ìlet"
"STR_CFG_SOUNDS_RUS12","Russian - Get out","Russe - Sortez","Russo - Uscire","Ruso: °Fuera!","Russisch - Los, raus","Rusky - Vystupte"
"STR_CFG_SOUNDS_RUS13","Russian - Help","Russe - A l'aide","Russo - Aiuto","Ruso: Ayuda","Russisch - Hilfe","Rusky - Pomoc"
"STR_CFG_SOUNDS_RUS14","Russian - Freeze","Russe - Gel","Russo - Fermi","Ruso: °Alto!","Russisch - Stehenbleiben","Rusky - Ani hnout!"
"STR_CFG_SOUNDS_RUS15","Russian - Alarm","Russe - Alerte","Russo - Allarme","Ruso: Alarma","Russisch - Alarm","Rusky - Alarm"
"STR_CFG_SOUNDS_RUS16","Russian - Vodka!","Russe - Vodka†!","Russo - Vodka!","Ruso: °Vodka!","Russisch - Wodka!","Rusky - Vodka!"
"STR_CFG_SOUNDS_RUS17","Russian - Vodka?","Russe - Vodka†?","Russo - Vodka?","Ruso: øVodka?","Russisch - Wodka?","Rusky - Vodka?"
"STR_CFG_SOUNDS_RUS18","Russian - Forward","Russe - En avant","Russo - Avanti","Ruso: Adelante","Russisch - Vorw‰rts","Rusky - Kup¯edu"
"STR_CFG_SOUNDS_RUS19","Russian - Sector clear","Russe - Secteur nettoyÈ","Russo - Settore sicuro","Ruso: Sector despejado","Russisch - Sektor frei","Rusky - Sector vyËiötÏn"
"STR_CFG_SOUNDS_RUS20","Russian - Die, bastard","Russe - Meurs, salopard","Russo - Muori, bastardo","Ruso: Muere, cerdo","Russisch - Stirb, Bastard","Rusky - Bastardi!"
"STR_CFG_SOUNDS_ENG1","Bastards 1","Salopards 1","Bastardi 1","Cerdos 1","Bastarde 1","Anglicky - Bastards 1"
"STR_CFG_SOUNDS_ENG2","Bastards 2","Salopards 2","Bastardi 2","Cerdos 2","Bastarde 2","Anglicky - Bastards 2"
"STR_CFG_SOUNDS_ENG3","Bastards 3","Salopards 3","Bastardi 3","Cerdos 3","Bastarde 3","Anglicky - Bastards 3"
"STR_CFG_SOUNDS_ENG4","Commie 1","Coco 1","Comunista 1","Rojo 1","Kommunist 1","Anglicky - Commie 1"
"STR_CFG_SOUNDS_ENG5","Commie 2","Coco 2","Comunista 2","Rojo 2","Kommunist 2","Anglicky - Commie 2"
"STR_CFG_SOUNDS_ENG6","Cover me 1","Couvrez-moi 1","Copritemi 1","C˙breme 1","Gib mir Deckung 1","Anglicky - Cover me 1"
"STR_CFG_SOUNDS_ENG7","Cover me 2","Couvrez-moi 2","Copritemi 2","C˙breme 2","Gib mir Deckung 2","Anglicky - Cover me 2"
"STR_CFG_SOUNDS_ENG8","Die 1","Meurs 1","Muori 1","Muere 1","Stirb 1","Anglicky - Die 1"
"STR_CFG_SOUNDS_ENG9","Die 2","Meurs 2","Muori 2","Muere 2","Stirb 2","Anglicky - Die 2"
"STR_CFG_SOUNDS_ENG10","Die 3","Meurs 3","Muori 3","Muere 3","Stirb 3","Anglicky - Die 3"
"STR_CFG_SOUNDS_ENG11","Don't shoot we're unarmed","Ne tirez pas, nous ne sommes pas armÈs","Non sparate, siamo disarmati","No disparen, estamos desarmados","Nicht schieﬂen - wir sind unbewaffnet","Anglicky - Don't shoot we're unarmed"
"STR_CFG_SOUNDS_ENG12","Enemy spotted, open fire!","Ennemi repÈrÈ, feu†!","Nemico avvistato, aprire il fuoco","Enemigo a la vista, °abran fuego!","Gegner entdeckt - Feuer!","Anglicky - Enemy spotted, open fire!"
"STR_CFG_SOUNDS_ENG13","Everyone out 1","Tout le monde dehors 1","Tutti fuori 1","Todo el mundo fuera 1","Alle raus 1","Anglicky - Everyone out 1"
"STR_CFG_SOUNDS_ENG14","Everyone out 2","Tout le monde dehors 2","Tutti fuori 2","Todo el mundo fuera 2","Alle raus 2","Anglicky - Everyone out 2"
"STR_CFG_SOUNDS_ENG15","Forward","En avant","Avanti","°Adelante!","Vorw‰rts","Anglicky - Forward"
"STR_CFG_SOUNDS_ENG16","Get out of here 1","Partez 1","Via da qui 1","°Fuera de aquÌ! 1","Nichts wie weg hier 1","Anglicky - Get out of here 1"
"STR_CFG_SOUNDS_ENG17","Get out of here 2","Partez 2","Via da qui 2","°Fuera de aquÌ! 2","Nichts wie weg hier 2","Anglicky - Get out of here 2"
"STR_CFG_SOUNDS_ENG18","Get to your positions 1","A votre poste 1","Tornare in posizione 1","A sus puestos 1","Auf eure Stellungen 1","Anglicky - Get to your positions 1"
"STR_CFG_SOUNDS_ENG19","Get to your positions 2","A votre poste 2","Tornare in posizione 2","A sus puestos 2","Auf eure Stellungen 2","Anglicky - Get to your positions 2"
"STR_CFG_SOUNDS_ENG20","Go, go, go 1","Allez, allez, allez 1","Dai, dai, dai 1","Vamos, vamos, vamos 1","Los, los, los 1","Anglicky - Go, go, go 1"
"STR_CFG_SOUNDS_ENG21","Go, go, go 2","Allez, allez, allez 2","Dai, dai, dai 2","Vamos, vamos, vamos 2","Los, los, los 2","Anglicky - Go, go, go 2"
"STR_CFG_SOUNDS_ENG22","Help 1","A l'aide 1","Aiuto 1","Ayuda 1","Hilfe 1","Anglicky - Help 1"
"STR_CFG_SOUNDS_ENG23","Help 2","A l'aide 2","Aiuto 2","Ayuda 2","Hilfe 2","Anglicky - Help 2"
"STR_CFG_SOUNDS_ENG24","Hey, what are you doing there? 1","HÈ, qu'est-ce que vous faites ici†? 1","Hey, cosa stai facendo lÏ? 1","Eh, øquÈ haces aquÌ? 1","He, was machen Sie hier? 1","Anglicky - Hey, what are you doing there? 1"
"STR_CFG_SOUNDS_ENG25","Hey, what are you doing there? 2","HÈ, qu'est-ce que vous faites ici†? 2","Ehi, cosa stai facendo lÏ? 2","Eh, øquÈ haces aquÌ? 2","He, was machen Sie hier? 2","Anglicky - Hey, what are you doing there? 2"
"STR_CFG_SOUNDS_ENG26","Hey, what are you doing there? 3","HÈ, qu'est-ce que vous faites ici†? 3","Ehi, cosa stai facendo lÏ? 3","Eh, øquÈ haces aquÌ? 3","He, was machen Sie hier? 3","Anglicky - Hey, what are you doing there? 3"
"STR_CFG_SOUNDS_ENG27","Let them have it 1","Pas de pitiÈ 1","Diamogliele di santa ragione 1","°A por ellos! 1","Geben wir's ihnen 1","Anglicky - Let them have it 1"
"STR_CFG_SOUNDS_ENG28","Let them have it 2","Pas de pitiÈ 2","Diamogliele di santa ragione 2","°A por ellos! 2","Geben wir's ihnen 2","Anglicky - Let them have it 2"
"STR_CFG_SOUNDS_ENG29","Look out 1","Attention 1","Attenzione 1","°Cuidado! 1","Vorsicht 1","Anglicky - Look out 1"
"STR_CFG_SOUNDS_ENG30","Look out 2","Attention 2","Attenzione 2","°Cuidado! 2","Vorsicht 2","Anglicky - Look out 2"
"STR_CFG_SOUNDS_ENG31","Look out 3","Attention 3","Attenzione 3","°Cuidado! 3","Vorsicht 3","Anglicky - Look out 3"
"STR_CFG_SOUNDS_ENG32","Medic, I am hit 1","Infirmier, je suis blessÈ 1","Infermiere, sono ferito 1","MÈdico, estoy herido 1","Sanit‰ter, ich bin verletzt 1","Anglicky - Medic, I am hit 1"
"STR_CFG_SOUNDS_ENG33","Medic, I am hit 2","Infirmier, je suis blessÈ 2","Infermiere, sono ferito 2","MÈdico, estoy herido 2","Sanit‰ter, ich bin verletzt 2","Anglicky - Medic, I am hit 2"
"STR_CFG_SOUNDS_ENG34","Medic, I am hit 3","Infirmier, je suis blessÈ 3","Infermiere, sono ferito 3","MÈdico, estoy herido 3","Sanit‰ter, ich bin verletzt 3","Anglicky - Medic, I am hit 3"
"STR_CFG_SOUNDS_ENG35","Sector clear, take it easy 1","Secteur nettoyÈ, vous pouvez y aller 1","Tranquilli, settore sicuro 1","Sector despejado, rel·jese 1","Sektor frei, jetzt ganz ruhig 1","Anglicky - Sector clear, take it easy 1"
"STR_CFG_SOUNDS_ENG36","Sector clear, take it easy 2","Secteur nettoyÈ, vous pouvez y aller 2","Tranquilli, settore sicuro 2","Sector despejado, rel·jese 2","Sektor frei, jetzt ganz ruhig 2","Anglicky - Sector clear, take it easy 2"
"STR_CFG_SOUNDS_ENG37","Stay sharp, they're all around us","Soyez prudents, ils sont partout","Tranquilli, settore sicuro 3","Permanezca alerta, est·n por todos lados","Augen auf, sie sind ¸berall","Anglicky - Stay sharp, they're all around us"
"STR_CFG_SOUNDS_ENG38","We surrender","On se rend","Ci arrendiamo","Nos rendimos","Wir ergeben uns","Anglicky - We surrender"
"STR_CFG_SOUNDS_ENG39","We're under attack. Return fire!","Nous sommes attaquÈs. Ripostez†!","Siamo stati attaccati. Rispondere al fuoco!","Nos est·n atacando °Respondan al fuego!","Wir werden angegriffen. Feuer erwidern!","Anglicky - We're under attack. Return fire!"
"STR_CFG_SOUNDS_ENG40","Who's there 1","Qui va l‡ 1","Chi va l‡? 1","øQuiÈn anda ahÌ? 1","Wer ist da 1","Anglicky - Who's there 1"
"STR_CFG_SOUNDS_ENG41","Who's there 2","Qui va l‡ 2","Chi va l‡? 2","øQuiÈn anda ahÌ? 2","Wer ist da 2","Anglicky - Who's there 2"
"STR_CFG_SOUNDS_ALARM","Play alarm","Lancer alerte","Suonare l'allarme","Suenen la alarma","Alarm abspielen","Anglicky - Play alarm"
"STR_CFG_SOUNDS_EXPLOSION1","Explosion Small","Petite explosion","Esplosione piccola","Tocar alarma","Kleine Explosion","Mal· exploze"
"STR_CFG_SOUNDS_EXPLOSION2","Explosion Big","Grande explosion","Esplosione grande","ExplosiÛn grande","Groﬂe Explosion","Velk· exploze "
"STR_CFG_SOUNDS_FOUNTAIN","Fountain","Fontaine","Fontana","Fuente","Brunnen","Font·na"
"STR_CFG_SOUNDS_FIRE","Fire","Feu","Fuoco","Fuego","Feuer","OheÚ"
"STR_CFG_TITLES_SPHERE","Sphere","SphËre","Sfera","Esfera","Gebiet","Koule"
"STR_CFG_TITLES_BISLOGO","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive","Bohemia Interactive"
"STR_CFG_TITLES_TVSET","TV Set","TÈlÈviseur","Televisore","Receptor de televisiÛn","Fernseher","Televize"
"STR_CFG_CUTSCENES_REFUEL","Refueling","Ravitaillement","Rifornimento carburante in corso","Repostando","Auftanken","DoplÚov·nÌ paliva"
"STR_CFG_CUTSCENES_REARM","Rearming","RÈarmement","Riarmamento in corso","Rearmando","Neu bewaffnen","DopÚov·nÌ munice"
"STR_CFG_CUTSCENES_REPAIR","Repairing","RÈparations","Riparazione in corso","Reparando","Reparieren","Opravov·nÌ"
"STR_CFG_CUTSCENES_HEALING","Healing","Soins mÈdicaux","Cure in corso","Sanando","Heilen","Oöet¯ov·nÌ"
"STR_CFG_CUTSCENES_TAKEWEAPON","Taking Weapon","Ramasser arme","Prelievo arma in corso","Tomando el arma","Waffe nehmen","ZvednutÌ zbranÏ"
"STR_CFG_CUTSCENES_TAKEMAGAZINE","Taking Ammo","Ramasser munitions","Prelievo munizioni in corso","Tomando municiÛn","Munition nehmen","DopÚov·nÌ munice"
"STR_CFG_CAMEFFECTS_TERMINATE","Terminate","ArrÍter","Termina","Terminar","Beenden","UkonËovacÌ"
"STR_CFG_CAMEFFECTS_INTERNAL","Internal","Interne","Interno","Interno","Innen","InternÌ"
"STR_CFG_CAMEFFECTS_ZOOMIN","Zoom In","Zoom avant","Zoom avanti","Acercar","Vergrˆﬂern","Zoom In"
"STR_CFG_CAMEFFECTS_ZOOMINSLOW","Zoom In Slow","Zoom avant lent","Zoom avanti lento","Acercar despacio","Langsam vergrˆﬂern","PomalÈ p¯iblÌûenÌ"
"STR_CFG_CAMEFFECTS_AROUND","Around","Autour","Movimento torretta","Rodear","Umschau","Dokola"
"STR_CFG_CAMEFFECTS_AROUNDSLOW","Around Slow","Autour lentement","Movimento torretta lento","Rodear despacio","Langsame Umschau","Dokola pomalu"
"STR_CFG_CAMEFFECTS_ZOOMAROUND","Zoom & Around","Zoom et autour","Zoom & movimento torretta","Acercar y rodear","Zoom und Umschau","Zoom & Okolo"
"STR_CFG_CAMEFFECTS_AROUNDZOOMSLOW","Around & Zoom Slow","Autour et Zoom lent","movimento torretta & zoom lento","Rodear y acercar despacio","Umschau und langsamer Zoom","Okolo & Zoom Pomalu"
"STR_CFG_CAMEFFECTS_ZOOMINS","Zoom In S","Zoom avant lent","Zoom avanti S","Acercar despacio","Langsam vergrˆﬂern","Pomalu p¯iblÌûit"
"STR_CFG_CAMEFFECTS_FIXED","Fixed","Fixe","Fisso","Fijo","Statisch","Statick·"
"STR_CFG_CAMEFFECTS_FIXEDZOOM","Fixed (Zoom)","Fixe (Zoom)","Fisso (zoom)","Fijo (acercar)","Statisch (Zoom)","Statick· (Zoom)"
"STR_CFG_CAMEFFECTS_EXTERNAL","External","Externe","Esterno","Externo","Aussen","ExternÌ"
"STR_CFG_MARKERS_FLAG","Objective","Objectif","Obbiettivo","Objetivo","Ziel","CÌl"
"STR_CFG_MARKERS_FLAG1","Flag","Drapeau","Bandiera","Bandera","Fahne","Vlajka"
